iter	RMSE
0	1337.721666
1	1164.004602
2	1096.463447
3	1058.879181
4	1036.270134
5	1019.509209
6	1004.135752
7	998.8605781
8	992.5716298
9	985.3830694
10	970.0068215
11	958.2151664
12	950.691119
13	940.4015053
14	937.6167528
15	924.0740636
16	915.308183
17	900.7088861
18	893.4613886
19	879.4375341
20	866.4250034
21	861.106864
22	852.4521154
23	841.0422779
24	835.4766151
25	827.2205511
26	820.2059382
27	815.1066974
28	809.0022591
29	799.7039212
30	795.5485265
31	789.2544556
32	779.6589308
33	774.030612
34	768.1599858
35	762.8241932
36	757.9272145
37	751.4060043
38	746.3400068
39	741.1835223
40	736.6416845
41	732.4189206
42	723.7858317
43	716.2627876
44	713.1888025
45	706.4290783
46	699.5354538
47	695.6522252
48	691.5900034
49	684.1703435
50	680.8391903
51	679.0746167
52	676.6067704
53	672.3285403
54	664.6280603
55	656.8305804
56	652.9065542
57	649.5225233
58	647.513263
59	643.8002105
60	641.2072293
61	638.8402785
62	634.5841863
63	629.9070853
64	625.0453302
65	621.8554527
66	619.9315163
67	617.6522852
68	615.5433922
69	610.5592965
70	606.183406
71	600.6021806
72	597.1202473
73	594.7404939
74	591.752134
75	588.5116967
76	584.0191397
77	581.1570942
78	576.4775037
79	572.5661964
80	569.6140233
81	566.9159263
82	563.3021047
83	559.9668981
84	558.1666782
85	556.1458299
86	554.3308458
87	550.4216613
88	544.1880443
89	540.9555687
90	537.5233067
91	534.3909807
92	532.36982
93	529.2277042
94	527.5955165
95	522.5389878
96	518.2114193
97	515.7636822
98	513.6816071
99	509.8751827
100	508.1393795
101	505.8985121
102	504.6661477
103	503.2186234
104	499.4350703
105	498.1420986
106	496.0513977
107	492.37534
108	489.211865
109	486.2909889
110	483.1894279
111	480.9312814
112	476.7638731
113	475.3645495
114	472.1548365
115	469.8681414
116	468.2929197
117	465.5274692
118	465.0894323
119	461.3287015
120	458.5262949
121	456.9881812
122	456.480285
123	453.3375549
124	449.9481737
125	448.5325955
126	444.6051684
127	442.5051329
128	440.7576086
129	436.6663824
130	434.9434699
131	433.313244
132	431.3784724
133	429.5304791
134	427.8253796
135	425.0309543
136	423.0786138
137	419.729724
138	417.8969751
139	416.8086636
140	415.2896552
141	411.5515764
142	409.3399322
143	407.2011744
144	405.5649615
145	403.7458666
146	402.7048067
147	400.7201407
148	399.0716976
149	398.0612817
150	396.9774535
151	395.4204169
152	393.869363
153	391.784156
154	390.3723933
155	388.4114626
156	386.924394
157	384.8493732
158	383.2377039
159	381.838898
160	380.5154059
161	379.3134082
162	377.8480365
163	377.480144
164	376.3432463
165	375.1905695
166	373.3663596
167	372.3260067
168	370.7993791
169	369.8948682
170	368.2511116
171	367.2002315
172	366.4588212
173	365.5586935
174	363.4935538
175	362.1978688
176	361.389529
177	360.1001847
178	358.5592123
179	357.8698858
180	356.552401
181	355.6238373
182	354.0787377
183	352.8960654
184	351.5447799
185	349.7914909
186	347.6957614
187	346.2805769
188	344.3764481
189	343.2205036
190	341.5954597
191	340.9109068
192	339.8333184
193	337.58004
194	336.1548996
195	334.7443287
196	333.9309442
197	331.9473436
198	331.2786517
199	330.1840807
