iter	Passed	Remaining
0	3	719
1	8	799
2	17	1143
3	22	1093
4	28	1097
5	32	1041
6	36	1011
7	42	1011
8	47	1006
9	52	993
10	56	977
11	62	982
12	67	966
13	72	967
14	77	953
15	80	929
16	84	910
17	89	909
18	93	889
19	96	872
20	100	857
21	106	861
22	110	850
23	114	837
24	119	839
25	125	838
26	129	830
27	134	823
28	137	810
29	141	802
30	146	800
31	152	799
32	156	794
33	160	785
34	166	782
35	171	781
36	177	782
37	184	784
38	196	812
39	210	842
40	216	841
41	221	833
42	227	830
43	231	820
44	234	808
45	241	807
46	244	797
47	249	791
48	256	789
49	260	780
50	264	772
51	270	769
52	273	758
53	277	749
54	281	741
55	287	738
56	292	732
57	295	724
58	300	718
59	305	711
60	309	705
61	315	702
62	319	694
63	323	687
64	329	684
65	338	686
66	343	682
67	349	677
68	353	671
69	360	669
70	365	663
71	375	667
72	379	659
73	382	651
74	385	643
75	391	638
76	394	630
77	398	623
78	405	621
79	409	614
80	413	607
81	416	599
82	421	593
83	424	586
84	428	580
85	434	575
86	438	569
87	442	562
88	445	555
89	451	551
90	456	546
91	460	540
92	467	538
93	471	532
94	476	526
95	484	524
96	488	519
97	494	514
98	503	513
99	508	508
100	514	504
101	533	512
102	544	512
103	548	506
104	563	509
105	567	502
106	573	498
107	577	492
108	581	485
109	587	480
110	591	474
111	596	468
112	602	463
113	607	458
114	610	451
115	613	444
116	618	438
117	621	431
118	624	425
119	628	418
120	633	413
121	638	408
122	640	401
123	644	395
124	648	389
125	652	383
126	655	376
127	659	370
128	663	365
129	667	359
130	670	353
131	676	348
132	681	343
133	686	338
134	707	340
135	713	335
136	717	329
137	724	325
138	729	320
139	733	314
140	744	311
141	747	305
142	753	300
143	759	295
144	763	289
145	768	284
146	772	278
147	776	272
148	781	267
149	787	262
150	791	256
151	796	251
152	801	246
153	807	241
154	812	235
155	817	230
156	821	225
157	827	219
158	831	214
159	835	208
160	838	203
161	842	197
162	848	192
163	853	187
164	860	182
165	866	177
166	876	173
167	880	167
168	884	162
169	890	157
170	893	151
171	897	146
172	903	140
173	908	135
174	912	130
175	918	125
176	922	119
177	927	114
178	931	109
179	937	104
180	944	99
181	949	93
182	953	88
183	957	83
184	962	78
185	968	72
186	976	67
187	982	62
188	987	57
189	992	52
190	996	46
191	1001	41
192	1009	36
193	1030	31
194	1050	26
195	1056	21
196	1060	16
197	1065	10
198	1072	5
199	1077	0
